City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,Matadi,-5.8167,13.45,77.81,87,100,4.85,CD,2023-01-12 15:32:00
237,Palmer,42.1584,-72.3287,35.15,84,100,4.61,US,2023-01-12 15:32:00
238,Mozarlandia,-14.7447,-50.5706,85.17,65,87,2.42,BR,2023-01-12 15:32:00
239,Salalah,17.0151,54.0924,77.09,73,0,3.44,OM,2023-01-12 15:32:01
240,Eureka,40.8021,-124.1637,65.01,61,100,10.0,US,2023-01-12 15:32:01
241,Porto Novo,6.4965,2.6036,87.62,56,25,11.56,BJ,2023-01-12 15:32:01
242,Henties Bay,-22.116,14.2845,67.39,76,87,16.15,NA,2023-01-12 15:32:02
243,Mountain Home,43.133,-115.6912,39.15,68,100,17.27,US,2023-01-12 15:32:03
244,Kahului,20.8947,-156.47,70.84,68,0,10.36,US,2023-01-12 15:32:03
245,San Andres,12.5847,-81.7006,84.22,70,20,16.11,CO,2023-01-12 15:32:04
246,Bathsheba,13.2167,-59.5167,83.01,74,20,18.41,BB,2023-01-12 15:32:04
247,Naze,28.3667,129.4833,67.12,65,67,17.43,JP,2023-01-12 15:32:06
248,Caravelas,-17.7125,-39.2481,85.68,59,93,10.18,BR,2023-01-12 15:32:07
249,Bairnsdale,-37.8333,147.6167,61.54,97,17,3.85,AU,2023-01-12 15:32:09
250,Lagoa,39.05,-27.9833,61.2,91,100,22.24,PT,2023-01-12 15:32:09
251,Khash,28.2211,61.2158,29.95,38,1,6.58,IR,2023-01-12 15:32:11
252,Tura,25.5198,90.2201,57.45,53,0,2.89,IN,2023-01-12 15:32:12
253,The Pas,53.8251,-101.2541,6.82,85,100,5.75,CA,2023-01-12 15:30:43
254,Ayan,56.45,138.1667,-5.01,74,100,8.81,RU,2023-01-12 15:32:13
255,Cap Malheureux,-19.9842,57.6142,77.47,70,40,5.99,MU,2023-01-12 15:32:15
256,Leningradskiy,69.3833,178.4167,-15.41,100,100,4.12,RU,2023-01-12 15:32:16
257,Ostrovnoy,68.0531,39.5131,28.0,87,100,26.57,RU,2023-01-12 15:32:16
258,Rundu,-17.9333,19.7667,91.11,19,94,7.45,NA,2023-01-12 15:32:17
259,Texarkana,33.4251,-94.0477,52.02,59,0,17.27,US,2023-01-12 15:31:07
260,Makakilo City,21.3469,-158.0858,68.68,71,20,3.44,US,2023-01-12 15:32:19
261,Saint George,37.1041,-113.5841,36.79,82,0,3.44,US,2023-01-12 15:29:41
262,Touros,-5.1989,-35.4608,86.49,56,22,14.16,BR,2023-01-12 15:32:21
263,Wiwili,13.6268,-85.8254,78.19,69,85,5.93,NI,2023-01-12 15:32:23
264,Luganville,-15.5333,167.1667,77.86,87,97,4.79,VU,2023-01-12 15:32:24
265,Tarancon,40.0085,-3.0073,49.14,56,7,4.43,ES,2023-01-12 15:32:24
266,Verkhozim,52.7122,45.418,5.9,83,12,12.46,RU,2023-01-12 15:32:25
267,Mount Gambier,-37.8333,140.7667,56.82,96,76,6.04,AU,2023-01-12 15:32:26
268,Saskylakh,71.9167,114.0833,-34.44,96,100,3.58,RU,2023-01-12 15:32:27
269,Carbonia,39.1672,8.5222,58.15,69,44,15.3,IT,2023-01-12 15:32:29
270,Uvinza,-5.1036,30.3911,68.36,93,92,0.98,TZ,2023-01-12 15:32:30
271,Bullhead City,35.1478,-114.5683,51.94,63,20,20.71,US,2023-01-12 15:30:08
272,Saint Anthony,45.0205,-93.218,24.75,82,100,14.97,US,2023-01-12 15:32:30
273,Camargo,27.6667,-105.1667,56.52,26,0,8.25,MX,2023-01-12 15:32:31
274,Katobu,-4.9408,122.5276,75.67,89,100,1.79,ID,2023-01-12 15:33:32
275,Kismayo,-0.3582,42.5454,77.72,76,46,17.09,SO,2023-01-12 15:33:32
276,Manokwari,-0.8667,134.0833,78.22,82,78,3.18,ID,2023-01-12 15:33:32
277,Bowen,-20.0167,148.2333,78.33,83,100,12.73,AU,2023-01-12 15:33:33
278,Hami,42.8,93.45,15.15,23,100,18.5,CN,2023-01-12 15:33:33
